id,name,description
1,glycerin,"Nondisplaced fracture of proximal phalanx of left great toe, initial encounter for open fracture"
2,galantamine hydrobromide,"Pathological fracture in neoplastic disease, left tibia, sequela"
3,"OCTINOXATE, TITANIUM DIOXIDE","Nondisplaced spiral fracture of shaft of ulna, right arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
4,TITANIUM DIOXIDE,"Nondisplaced fracture of greater trochanter of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
5,Naproxen,Paralytic ptosis of left eyelid
6,OCTINOXATE and TITANIUM DIOXIDE,"Unspecified injury of dorsal vein of unspecified foot, sequela"
7,Prednisone,"Transient synovitis, right knee"
8,"Acetaminophen, Guaifenesin, and Phenylephrine Hydrochloride",Nondisplaced spiral fracture of shaft of right fibula
9,propafenone hydrochloride,"Toxic effect of chlorine gas, intentional self-harm, sequela"
10,Fexofenadine Hydrochloride,Other physeal fracture of lower end of left tibia
11,Calcitriol,"Acute atopic conjunctivitis, bilateral"
12,Erythromycin Ethylsuccinate,"Recurrent dislocation, unspecified elbow"
13,Sodium fluoride,Other microdeletions
14,Isopropyl Alcohol,"Poisoning by, adverse effect of and underdosing of butyrophenone and thiothixene neuroleptics"
15,Diphenhydramine Hydrochloride,"Unspecified pedal cyclist injured in collision with other motor vehicles in traffic accident, initial encounter"
16,dibucaine,"Pedal cycle passenger injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
17,Alcohol,"Posterior dislocation of lens, right eye"
18,"Menthol, Methyl salicylate","War operations involving flamethrower, civilian"
19,losartan potassium and hydrochlorothiazide,Dyspareunia not due to a substance or known physiological condition
20,Dextromethorphan Hydrobromide / Guaifenesin,"Yellow fever, unspecified"
21,tizanidine hydrochloride,"Salter-Harris Type II physeal fracture of lower end of right fibula, subsequent encounter for fracture with delayed healing"
22,Ethyl Alcohol,"Traumatic hemorrhage of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, subsequent encounter"
23,CARBAMAZEPINE,"Nondisplaced fracture of base of neck of right femur, initial encounter for open fracture type I or II"
24,"Carbidopa, Levodopa, and Entacapone",Minimally displaced Zone III fracture of sacrum
25,Norethindrone Acetate and Ethinyl Estradiol,"Displacement of artificial heart, subsequent encounter"
26,Octinoxate and Oxybenzone,"Terrorism involving other means, public safety official injured, subsequent encounter"
27,Acetylcysteine,"Nondisplaced fracture of trapezium [larger multangular], left wrist, subsequent encounter for fracture with routine healing"
28,"Avobenzone, homosalate, octisalate, octocrylene, and oxybenzone","Iodine-deficiency related (endemic) goiter, unspecified"
29,Diazepam,Activities involving caregiving
30,Tioconazole,"Foreign body granuloma of soft tissue, not elsewhere classified, right shoulder"
31,Etodolac,"War operations involving combat using blunt or piercing object, civilian, initial encounter"
32,carvedilol,Fracture of ilium
33,HAND SANITIZER,Other disorders resulting from impaired renal tubular function
34,ZINC OXIDE,"Subluxation of metacarpophalangeal joint of left index finger, initial encounter"
35,Sulfamethoxazole and Trimethoprim,"Nondisplaced lateral mass fracture of first cervical vertebra, initial encounter for open fracture"
36,oxycodone hydrochloride,"Puncture wound with foreign body of right buttock, initial encounter"
37,Cyclobenzaprine Hydrochloride,"Glaucoma secondary to eye inflammation, left eye, indeterminate stage"
38,Streptomyces,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, subsequent encounter"
39,fexofenadine hydrochloride,"Maternal care for other known or suspected poor fetal growth, second trimester"
40,Ranitidine,Other superficial bite of ankle
41,methylphenidate hydrochloride,Chronic embolism and thrombosis of veins of upper extremity
42,Oxygen,Other congenital deformities of feet
43,Vinorelbine,Other intraarticular fracture of lower end of right radius
44,gentamicin sulfate,"Monteggia's fracture of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
45,Midazolam Hydrochloride,"Hallucinogen dependence, uncomplicated"
46,"LYCOPODIUM,NUX VOMICA,BORAX,ASAFOETIDA,NUX MOSCHATA,GENTIANA LUTEA,KREOSOTUM,CALCAREA CARBONICA,SEPIA,PHOSPHORIC ACID,ECHINACEA,PULSATILLA,BAPTISIA,",Vitiligo
47,Ibuprofen,"Nondisplaced fracture of left radial styloid process, initial encounter for open fracture type IIIA, IIIB, or IIIC"
48,Diltiazem Hydrochloride,"Injury of peripheral nerves of thorax, subsequent encounter"
49,Rhus Tox. e fol. 4,"Squamous cell carcinoma of skin of unspecified lower limb, including hip"
50,levofloxacin,Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
51,SALICYLIC ACID,"Other injury of flexor muscle, fascia and tendon of right middle finger at forearm level, subsequent encounter"
52,"TITANIUM DIOXIDE, OCTINOXATE",Postprocedural hypertension
53,Ranitidine,"Velamentous insertion of umbilical cord, second trimester"
54,ISOPROPYL ALCOHOL,"Diplacusis, right ear"
55,"Antihemophilic Factor, Human Recombinant","Puncture wound with foreign body of unspecified elbow, subsequent encounter"
56,EPIFAGUS VIRGINIANA - IRIS VERSICOLOR ROOT - POTASSIUM IODIDE,Other fracture of lower end of femur
57,"AVOBENZONE, OCTISALATE, OCTOCRYLENE",Injury of peripheral nerves of thorax
58,"LYSINE ACETATE, LEUCINE, PHENYLALANINE, VALINE, ISOLEUCINE, METHIONINE, THREONINE, TRYPTOPHAN, ALANINE, ARGININE, GLYCINE, HISTIDINE, PROLINE, GLUTAMIC ACID, SERINE, ASPARTIC ACID, and TYROSINE","Transitory metabolic disturbance of newborn, unspecified"
59,Petrolatum,"Displacement of internal fixation device of right humerus, subsequent encounter"
60,OCTINOXATE and TITANIUM DIOXIDE,"Osteonecrosis in diseases classified elsewhere, unspecified forearm"
61,Quetiapine Fumarate,"Toxic effect of 2-Propanol, undetermined, initial encounter"
62,quercus stellata pollen,"Burn of unspecified degree of left thigh, sequela"
63,ATRACTYLODES LANCEA ROOT,"Severe pre-eclampsia, second trimester"
64,Mucor racemosus,"Poisoning by other topical agents, intentional self-harm"
65,Metronidazole,"Unspecified injury of other muscle(s) and tendon(s) at lower leg level, unspecified leg, sequela"
66,SODIUM FLUORIDE,"Juvenile osteochondrosis of head of femur [Legg-Calve-Perthes], right leg"
67,Ropinirole,"Person boarding or alighting a motorcycle injured in noncollision transport accident, sequela"
68,"Aconitum nap., Apis mel., Baptisia, Belladonna, Borax, Bryonia, Calc. carb., Calc. phos., Chamomilla, Chelidonium majus, Coffea cruda, Collinsonia, Colocynthis, Kreosotum, Mag.phos., Nux vom., Podoph. pelt., Rheum, Scutellarialateriflora, Silicea, Terebinthina, Zingiber, Valeriana",Complete traumatic amputation at left hip joint
69,Terazosin Hydrochloride,"Unspecified open wound of pharynx and cervical esophagus, sequela"
70,Isopropyl alcohol,Burn of third degree of left knee
71,"Chlorpheniramine maleate, Phenylephrine HCl","Unspecified nondisplaced fracture of fifth cervical vertebra, subsequent encounter for fracture with delayed healing"
72,Octinoxate,Complex regional pain syndrome I (CRPS I)
73,ZINC OXIDE,"Displaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with nonunion"
74,lansoprazole,"Retinal neovascularization, unspecified, right eye"
75,Lisinopril,"Burn of mouth and pharynx, subsequent encounter"
76,Olive Olea europaea,"Transient ischemic deafness, left ear"
77,"Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl",Dislocation and sprain of joints and ligaments of elbow
78,NITROUS OXIDE,"Type III traumatic spondylolisthesis of sixth cervical vertebra, initial encounter for open fracture"
79,Valsartan and hydrochlorothiazide,Taeniasis
80,MENTHOL,"Displaced longitudinal fracture of left patella, subsequent encounter for closed fracture with delayed healing"
81,APIUM GRAVEOLENS,"Injury of unspecified nerve at forearm level, left arm, sequela"
82,Octinoxate and Avobenzone,"Arthropathy, unspecified"
83,ESZOPICLONE,"Other idiopathic scoliosis, lumbosacral region"
84,METRONIDAZOLE,Torus fracture of upper end of unspecified tibia
85,Magesium Citrate,"Toxic effect of other tobacco and nicotine, accidental (unintentional), sequela"
86,"GABAPENTIN, LIDOCAINE HYDROCHLORIDE, MENTHOL",Lymphocyte depleted Hodgkin lymphoma
87,METFORMIN HYDROCHLORIDE,"Displaced fracture of fifth metatarsal bone, left foot, initial encounter for closed fracture"
88,"acetaminophen, dextromethorphan hydrobromide and doxylamine succinate",Derangement of anterior horn of lateral meniscus due to old tear or injury
89,Duloxetine hydrochloride,"Unspecified trochanteric fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
90,omeprazole,"Adverse effect of carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, sequela"
91,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCl","Unspecified sprain of left hip, initial encounter"
92,Risperidone,"Other injury due to other accident on board canoe or kayak, subsequent encounter"
93,Phenol,"Sprain of interphalangeal joint of left little finger, subsequent encounter"
94,Cetirizine Hydrochloride,"Other fracture of lower end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
95,"OCTINOXATE, TITANIUM DIOXIDE",Acquired absence of stomach [part of]
96,Ethyl Alcohol,"Poisoning by propionic acid derivatives, undetermined"
97,Isopropyl Alcohol,"Posterior displaced Type II dens fracture, subsequent encounter for fracture with delayed healing"
98,propranolol hydrochloride,"Shock due to anesthesia, initial encounter"
99,LOMUSTINE,"Anterior scleritis, right eye"
100,HYDROCODONE BITARTRATE AND IBUPROFEN,Unspecified fracture of upper end of ulna
101,"LIDOCAINE HYDROCHLORIDE, MENTHOL",Other specified item causing external constriction
102,ALCOHOL,Injury of unspecified blood vessel at neck level
103,Methocarbamol,Fracture of femur
104,Propranolol Hydrochloride,"Polyhydramnios, third trimester, fetus 3"
105,CARISOPRODOL,"Unspecified fracture of first metacarpal bone, right hand, subsequent encounter for fracture with delayed healing"
106,Salicylic Acid,"Laceration without foreign body of left thumb without damage to nail, subsequent encounter"
107,Beech,Other injury due to other accident to other powered watercraft
108,ziprasidone hydrochloride,"Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter"
109,ziprasidone hydrochloride,Salter-Harris Type III physeal fracture of metatarsal
110,"Acetaminophen, Diphenhydramine HCl","Traumatic anuria, initial encounter"
111,Insulin lispro,Megalencephaly
112,"NUX VOMICA,ARSENICUM ALBUM,CINCHONA OFFICINALIS,CAPSICUM ANNUUM,NITRIC ACID,MERCURIUSCORROSIVUS,BELLADONNA,CAJUPUTUM,LYCOPODIUM CLAVATUM,PHOSPHORUS,PHYTOLACCA DECANDRA,RHAMNUS PURSHIANA,FRAGARIA VESCA","Pressure ulcer of left elbow, stage 1"
113,"Belladonna, Calcarea iodata, Conium maculatum, Echinacea purpurea, Hepar sulphuris calcareum, Kali iodatum, Kali muriaticum, Mercurius vivus, Phytolacca decandra, Pulsatilla, Ricinus communis, Scrophularia nodosa, Solidago virgaurea, Sulphur iodatum,","Underdosing of rifampicins, subsequent encounter"
114,Sunitinib malate,"Bacterial intestinal infection, unspecified"
115,"butalbital, acetominophen and caffeine","Adverse effect of drugs affecting uric acid metabolism, subsequent encounter"
116,Nicotine Polacrilex,Acute embolism and thrombosis of other specified deep vein of left lower extremity
117,clindamycin phosphate,"Nondisplaced fracture of distal phalanx of right thumb, subsequent encounter for fracture with routine healing"
118,Isosorbide Dinitrate,Acute embolism and thrombosis of tibial vein
119,Triclosan,"Drug-induced chronic gout, left hand, with tophus (tophi)"
120,Cefadroxil,Toxic effect of carbon monoxide from unspecified source
121,Triclosan,"Unspecified car occupant injured in noncollision transport accident in nontraffic accident, subsequent encounter"
122,BOLDO,Blepharospasm
